School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
005586,LINDSEY HOPKINS TECHNICAL COLLEGE,750 NW 20TH ST,MIAMI,FL,33127,N/A,N/A,N/A
005594,D G ERWIN TECHNICAL CENTER,2010 EAST HILLSBOROUGH AVE,TAMPA,FL,33610,N/A,N/A,N/A
005596,EMILY GRIFFITH TECHNICAL COLLEGE,1860 LINCOLN STREET,DENVER,CO,80203,N/A,N/A,N/A
005599,AUGUSTA TECHNICAL COLLEGE,3200  AUGUSTA TECH DRIVE,AUGUSTA,GA,30906,N/A,N/A,N/A
005600,ATHENS TECHNICAL COLLEGE,800 US HIGHWAY 29 NORTH,ATHENS,GA,30601,N/A,N/A,N/A
005601,ALBANY TECHNICAL COLLEGE,1704 S. SLAPPEY BOULEVARD,ALBANY,GA,31701,N/A,N/A,N/A
005605,PINELLAS TECHNICAL COLLEGE - CLEARWATER,6100 154TH AVENUE NORTH,CLEARWATER,FL,33760,N/A,N/A,N/A
005615,SOUTHERN REGIONAL TECHNICAL COLLEGE,15689 US HIGHWAY 19 NORTH,THOMASVILLE,GA,31792,N/A,N/A,N/A
005617,SOUTH GEORGIA TECHNICAL COLLEGE,900 SOUTH GA TECH PARKWAY,AMERICUS,GA,31709,N/A,N/A,N/A
005618,SAVANNAH TECHNICAL COLLEGE,5717 WHITE BLUFF ROAD,SAVANNAH,GA,31405,N/A,N/A,N/A
005619,NORTH GEORGIA TECHNICAL COLLEGE,1500 HIGHWAY 197 NORTH,CLARKESVILLE,GA,30523,N/A,N/A,N/A
005620,CHATTAHOOCHEE TECHNICAL COLLEGE,980 SOUTH COBB DRIVE SE,MARIETTA,GA,30060,N/A,N/A,N/A
005621,SOUTHERN CRESCENT TECHNICAL COLLEGE,501 VARSITY ROAD,GRIFFIN,GA,30223,N/A,N/A,N/A
005624,COLUMBUS TECHNICAL COLLEGE,928 MANCHESTER EXPRESSWAY,COLUMBUS,GA,31904,N/A,N/A,N/A
005638,DOWNEY ADULT SCHOOL,12340 WOODRUFF AVENUE,DOWNEY,CA,90241,N/A,N/A,N/A
005691,SHELTON STATE COMMUNITY CLG,9500 OLD GREENSBORO ROAD,TUSCALOOSA,AL,35405,N/A,N/A,N/A
005692,REID STATE TECHNICAL COLLEGE,PO BOX 588 INTSTE 65 & HWY 83,EVERGREEN,AL,36401,N/A,N/A,N/A
005697,NORTHWEST- SHOALS COMMUNITY COLLEGE,800 GEORGE WALLACE BLVD,MUSCLE SHOALS,AL,35661,N/A,N/A,N/A
005732,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE,2500 SOUTH MAIN,HOPE,AR,71801,N/A,N/A,N/A
005733,BEVILL STATE CMTY COLLEGE-WALKER,HIGHWAY 78 WEST AND STATE STREET,SUMITON,AL,35148,N/A,N/A,N/A
005734,H. COUNCILL TRENHOLM STATE COMMUNITY COL,1225  AIR BASE BOULEVARD,MONTGOMERY,AL,36108,N/A,N/A,N/A
005753,OWENS COMMUNITY COLLEGE,30335 OREGON ROAD,PERRYSBURG,OH,43551,N/A,N/A,N/A
005754,ROWAN-CABARRUS COMMUNITY COLLEGE,1333 JAKE ALEXANDER BOULEVARD SOUTH,SALISBURY,NC,28146,N/A,N/A,N/A
